ISO 639-3	Population
jaa	800 (Moore 2006). 220 Banawa Yafi (Kitiya) mostly monolingual; 160 ethnic Jarawara, also mostly monolingual (Crevels 2007).
gbf	1,200 (2000).
gbg	14,500 (1996). Total users in all countries: 17,500.
gbd	26 (2006 census).
gbe	930 (2003 SIL).
gbb	140 (2006 census).
aew	770 (2003 SIL). Ethnic population: 1,970 (2003 SIL).
gba	A macrolanguage. Population total all languages: 857,500
gbn	600 (Voegelin and Voegelin 1977).
gbo	131,000 (2015).
gbl	284,000 (2001 census).
gbm	2,920,000 (2000 SIL).
gbj	8,000 (2000 IICCC).
gbk	110,000 (2007).
gbh	13,500 (2002 SIL).
gbi	79,000 (1990 SIL). 41,000 Kadai, 10,000 Kadina, 24,000 Morotai, and 4,000 Sopi.
gbv	95,000 (1996).
gbw	No known L1 speakers. Speaker numbers are not known but there is a sizable community in Brisbane who identify with this group.
aec	22,400,000 (2016).
gbu	1 (Wurm 2007).
gbr	700,000 (1991 SIL).
gbs	65,000 (2002 SIL).
gbp	200,000 (2005).
gbq	32,500 (1996).
aek	300 (2009), decreasing. Estimated population based on census. 2009 census figures for all 6 Voh-Koné languages: 1,203.
gbz	8,000 (1999).
ael	2,600 (1987 census). Ethnic population: 6,000 (2001 SIL).
gbx	80,000 (2002 SIL).
gby	350,000 (2002 SIL).
btu	25,000.
btt	100,000 (2006 L. Otronyi), increasing. Some elderly monolinguals.
btw	34,500 (1990 census).
btv	30,100 (2004 J. Leclerc). Total users in all countries: 30,900.
btq	1,000 (2006 JHEOA), decreasing. Ethnic population: 1,160 (2008 JHEOA).
btp	310 (2000). 50 monolinguals.
bts	1,200,000 (2000).
btr	1,330 (Lynch and Crowley 2001).
bty	4,500 (1989 SIL).
btx	600,000 (1991 UBS).
btz	195,000 (2000 census). Includes 80,000 Alas, 50,000 Kluet, and 65,000 Singkil.
bte	No known L1 speakers. Ethnic population: 15,000 (Crozier and Blench 1992).
btd	1,200,000 (1991 UBS).
btg	150,000 (1989 SIL).
btf	10,400 (2000).
bta	150,000 (1992). 3,500,000 Bwaatye (Bata and Bacama [bcy]) (2006 census). Total users in all countries: 152,500.
btc	800 (1975 census).
btm	1,100,000 (2000 census).
bto	385,000 (2010 census), increasing. Speakers of all Bikol languages: 4,580,000 (2000 census). 2,300 monolinguals. Monolingual speakers are elderly; boast of their identity as Rinconada.
btn	2 (Wurm 2000). Ethnic population: 2,000 (1997 SIL).
bti	100 (Wurm 2000).
bth	63,900 (2000 census). Total users in all countries: 72,380.
btj	6 (2012 SIL).
etr	1,670 (2000 census). 300 monolinguals (2015 A. Grosh).
ets	274,000 (1995 UBS).
tlq	4,460 (2008). Population for Muak Sa-aak only. Population information is not yet available for the other groups known as Tai Loi. Total users in all countries: 4,960.
tlp	15,100 (2000 INALI).
tlv	4,520 (2000). 500–1,500 in Mangei.
tlu	18,800 (1987 SIL).
etu	67,300 (2000). Total users in all countries: 116,700.
etz	1,000 (1991 SIL).
etx	40,000 (Blench 2003).
tlx	1,620 (2000 census).
etb	15,000 (1989).
tlb	27,700 (2000).
tla	8,700 (2005 census).
tlg	250 (2005 SIL).
tlf	5,400 (1994 SIL).
tld	82,000 (2000 census).
tlk	550 (2005 R. Van den Berg). 400 in Maligano, 150 in Wakalambe.
tlj	101,000 (2014 census), increasing. Census based on tribal affiliation. Total users in all countries: 131,900.
eth	250,000 (2008 WFD). 1,000,000 (2005 Ethiopian National Association of the Deaf). Unknown number of isolated deaf in rural areas. 250,000 deaf (2008 WFD).
etn	500 (1989 census).
eto	250,000 (2005 census). Based on census results for whole Lekie division. Delpech (1985: 161), cited in Van de Velde 2006, gives 250,000 in 1982 (2014 C. Hamm).
tlm	900 (Lynch and Crowley 2001). Ethnic population: 1,300.
tll	750,000 (1991 UBS).
lgk	1,250 (Lynch and Crowley 2001).
lgh	300 (2002 J. Edmondson).
lgi	3 (Wurm 2000).
lgn	5,000 (2014). Most are monolingual.
lgl	6,980 (1999 SIL).
lgm	44,900 (2000).
lgb	3 (Wurm 2007). In 1981, 5 speakers were reported (Wurm 2007).
lga	2,770 (1999 SIL).
lgg	1,100,000 (2014 census), increasing. Census based on tribal affiliation. Total users in all countries: 1,940,000.
lgz	43,000 (1986 SIL).
lgr	13,800 (1999 SIL). 13,600 Lengo and 160 Ghaimuta.
lgq	7,500 (2003).
lgt	840 (2000 census).
lgu	1,890 (1999 SIL).
rbp	5 (2005 AUSTLANG).
cvn	440 (2000 INALI).
rbl	300,000 (2009 SIL). Speakers of all Bikol languages: 4,580,000 (2000 census). No monolinguals.
rbk	9,700 (2007 census).
tsp	19,500 (1995 SIL). 1,000 in Wenteene dialect, 18,500 in the other dialects.
cvg	850 (2005).
rbb	137,000. Total users in all countries: 140,600.
qws	6,500 (2002 SIL), decreasing. 3,000 monolinguals.
zgr	100 (Wurm 2000).
zgh	
zgm	173,000 (2004).
zgn	1,000,000 (2007). 420,000 monolinguals.
zga	140,000 (2003). 57,000 in Makete District.
zgb	1,500,000 (2007).
une	19,800 (2000).
phk	2,000 (Bradley 2007a).
phh	5,000 (Pelkey 2008). Ethnic population: 11,000 (2009 census). Total users in all countries: 10,000.
pho	35,600 (1995 census).
phm	6,000.
phl	10,000 (Liljegren 2008). Population of Ashret and Biori Valleys is almost completely monolingual (Liljegren 2008).
pha	26,800 (McConnell 1995). 10,000 monolinguals. Ethnic population: 50,000 (Bradley 2007a). Total users in all countries: 33,610.
phg	15,100 (2000).
phd	1,010 (2000).
phr	2,500,000 (Lothers and Lothers 2007). Total users in all countries: 3,541,900.
phq	350 (1995 census). Ethnic population: Included within the Ahka [ahk] ethnic group.
phw	290 (2011 census).
phv	No known L1 speakers.
phu	200,000 (2006 Mahidol University). Total users in all countries: 307,000.
pht	470,000 (2006 Mahidol University). Total users in all countries: 866,000.
unn	26 (2006 AUSTLANG).
ofu	10,000 (1973 SIL).
xed	25,000 (2001 SIL). Total users in all countries: 29,000.
xeg	No known L1 speakers. Last known speaker died in 1988.
xel	200.
xem	11,000 (2007 SIL).
xet	No known L1 speakers. Ethnic population: 8 (1998).
xeu	5,970 (2000 census). Keoru: 5070, Ahia: 710, Pairi: 190.
xer	1,810 (2000 ISA). Ethnic population: 1,810 (Moore 2006).
xes	770 (2003 SIL).
wec	25,200 (1998 SIL). 20,000 Kaoro (1995 SIL).
wea	No known L1 speakers.
weg	5 (2005 AUSTLANG).
wed	2,200 (2000 D. Tryon). 900 monolinguals.
wei	490 (2000 census).
weh	8,000 (1993 SIL), increasing.
weo	6,000 (2000 census). No monolinguals. Ethnic population: 7,500.
wem	169,000 (2014 J. Leclerc).
wes	2,000,000 (1989 UBS), L2 users.
wer	4,160 (McElhanon 1978).
wep	
wew	55,000 (2011).
weu	5,000 (2008).
wet	280 (Hinton 2000).
nvo	3,900 (Guthrie and Tucker 1956).
nvm	1,200 (2003 SIL).
nvh	5 (Lynch and Crowley 2001).
mhn	1,900 (1992 R. Zamponi). 400 Fierozzo, 1,000 Palú, 460 Gereut.
mho	18,800 (2010 census). Total users in all countries: 21,630.
mhl	2,390 (2003 SIL).
mhm	200,000 (2003 SIL).
mhj	No known L1 speakers. Ethnic population: 2,000.
mhk	50,100 (1982 SIL).
mhi	293,000 (2014 census), increasing. Census based on tribal affiliation. Numbers probably include Southern Madi speakers. Total users in all countries: 311,000.
mhf	200 (McElhanon 1978).
mhg	No known L1 speakers.
mhd	7,000 (1997). Ethnic population: 32,000.
mhe	2,990 (2003 COAC). Ethnic population: 3,680 (2008 JHEOA).
mhb	8,000 (Idiata 2007).
mhc	110 (2011 UNSD). No monolinguals.
mha	4,040 (2000).
mhz	700 (1987 SIL).
mhx	100,000 (Bradley 1997). Total users in all countries: 103,500.
mhy	150,000 (2003).
mhw	31,200 (2015 UNSD). Total users in all countries: 47,100.
mht	3,000 (1975 G. Indigenista). Ethnic population: The size of the ethnic group is not clear since the usually cited number of 3,000 (1975 G. Indigenista) probably includes Baré [bae], Baniva [bwi] and Mandahuaca (Crevels 2007).
mhu	34,000 (2001 census). Total users in all countries: 34,850.
mhr	470,000 (2012 T. Salminen). Ethnic population: 548,000 (2010 census). Total users in all countries: 482,000.
mhs	45,000 (Grimes 2010).
mhp	25,000 (2000 census).
mhq	10 (Golla 2007). 0. Ethnic population: 130 (2000 census).
vsv	6,000 (2014). Deaf sign language users, total for all three sign languages in Spain: 60,000–80,000 (2000 Instituto Nacional de Estadística), 100,000 (2014 EUD). Based on these numbers and proportions of total population in various regions in Spain, estimated 6,000–10,000 for LSV.
vsi	17,500 total signing deaf in Moldova in all sign languages (2014 IMB).
vsl	
krz	100 (1996 M. Donohue).
krx	9,600 (2015 J. Leclerc), increasing. A few hundred elderly monolinguals. Total users in all countries: 15,600.
kry	5,000 (Salminen 2007).
krr	20,700 (2009 UNSD).
krs	20,000 in South Sudan, all users. L1 users: 16,000 (2013 SIL). L2 users: 4,000. Total users in all countries: 20,000 (as L1: 16,000; as L2: 4,000).
krp	10,200 (Dimmendaal and Voeltz 2007). Total users in all countries: 17,640.
krv	6,220 (2009 UNSD).
krw	85,600 (2015). Total users in all countries: 97,800.
krt	40,000 (1998). 20,000 monolinguals.
kru	1,750,000 (2001 census). Total users in all countries: 1,804,200.
krj	378,000 (1994 SIL), increasing. 1,000 monolinguals.
krk	No known L1 speakers (Salminen 2007). 3 elderly speakers in 1991 (Salminen 2007). Ethnic population: 4 (2010 census).
krh	40,300 (2000).
kri	4,692,000 in Sierra Leone, all users. L1 users: 692,000 (2016). L2 users: 4,000,000 (1987 F. Jones). Total users in all countries: 4,716,110 (as L1: 716,110; as L2: 4,000,000).
krn	58,500 (2015).
krl	25,600 (2010 census). Census includes Livvi-Karelian [olo] and Ludian [lud]. Ethnic population: 60,800 (2010 census). Total users in all countries: 35,600.
krc	305,000 (2010 census). Ethnic population: 314,000 (2010 census). Total users in all countries: 311,380.
kra	13,610, all users. 12,200 (2011 census), decreasing. 1,410 (2011 census). No monolinguals. Ethnic population: 121,000 (2011 census).
krf	160 (2003 A. François).
krd	15,000 (2010 census).
kre	375 (2008 SIL). Ethnic population: 380.
yrk	21,900 (2010 census). Ethnic population: 44,600 (2010 census).
yrl	10,300 (2005 FOIRN). Total users in all countries: 19,060.
yrm	Few speakers.
yrn	380 (2000).
yro	430 (Ferreira 2011).
yra	380 (2000 census).
yrb	750 (Wurm and Hattori 1981).
yre	40,000 (2012 V. Vydrin).
yry	
yrs	200 (1991 SIL).
yrw	130 (2003 SIL).
inz	No known L1 speakers.
int	90,000 (2000 D. Bradley).
inp	4 (1999 SIL).
ins	5,930,000 (2014 IMB). Possibly over 10 million profoundly deaf, assuming approximately 1% of the general population (over 1.21 billion according to the 2011 census), which is a typical range for developing countries. Total users in all countries: 8,530,000.
inl	8,000 (2000).
inn	5,520 (1990 census). Ethnic population: 12,500 (Reid and Salvador-Amores 2016). Ancestral Domain Areas Census Report.
ino	10,000 (1993 SIL).
inh	306,000 (2010 census). Ethnic population: 445,000 (2010 census). Total users in all countries: 322,900.
inj	11,200 (2007 OCIP).
ind	198,000,000 in Indonesia (2010 census), all users. 22,800,000 (2000), increasing. Total users in all countries: 198,395,070 (as L1: 23,195,070; as L2: 175,200,000).
ing	130 (2010 census). Ethnic population: 280 (Golla 2007).
inb	18,000 (Civallero 2008). Dispersed in various regions; adopted commerce as a survival strategy (Crevels 2007). Total users in all countries: 22,000.
wxw	No known L1 speakers.
hps	
mch	5,520 (2001 census). Ethnic population: 6,520. Total users in all countries: 5,950.
hpo	No known L1 speakers, decreasing. Ethnic population: 1,500 (Bradley 2007a).
wxa	300,000 (1995).
tmb	700 (Lynch and Crowley 2001).
eot	200 (Blench 1999b). Ethnic population: 3,180 (1988 census).
aln	1,200,000 (2012 UNSD). Ethnic population: 2,310,000 ethnic Albanians (2011 census). Total users in all countries: 2,046,480.
alo	12,600 (1987 SIL).
alh	12 (2006 census).
pth	No known L1 speakers. Ethnic population: 4,660 (1998). 2,790 Pataxó and 1,870 Pataxó Hã Hã Hãe (Crevels 2007).
cwa	14,000 (2011 SIL).
cmo	32,500 (2002 SIL). Total users in all countries: 70,000.
cmn	1,067,000,000 in China, all users. 889,000,000 (2013), increasing. 70% of Chinese language users speak a Mandarin dialect as L1. 178,000,000. Total users in all countries: 1,091,782,930 (as L1: 897,902,930; as L2: 193,880,000).
cml	30,000 (Strømme 1987).
cmi	5,510 (2001 DNP). Ethnic population: Total Emberá in Colombia: 71,000 (Arango Ochoa and Sánchez Gutierrez 1998).
cme	51,900 (2009 UNSD). Total users in all countries: 53,600.
cma	33,300 (1999 census). Ethnic population: 41,400 (2009 census).
cwd	35,000 (1982 SIL). Ethnic population: 53,000 (1982 SIL).
cmt	No known L1 speakers. Ethnic population: No ethnic community.
cmr	75,000 (2012 SIL).
bwp	20,000 (2002 SIL).
alx	270 (2000 census).
bwq	181,000 (2009 UNSD).
tmh	A macrolanguage. Population total all languages: 1,628,000
bwr	250,000 (1987 UBS). 200,000 Pabir (1993). 32,000 in Adamawa state (1992).
bws	23,000 (1983 census).
alw	316,700, all users. L1 users: 287,000 (2010 UNSD). 234,000 Alaba, 52,700 K’abeena (2010 UNSD). L2 users: 29,700. 111,000 monolinguals (1994 census).
alt	57,400 (2010 census). Ethnic population: 74,200 (2010 census). Includes Northern Altai [atv].
alu	17,900 (1999 SIL), increasing. Few monolinguals.
bww	200,000 (1994 SIL).
als	1,570,000 (2012 UNSD). Ethnic population: 2,310,000 ethnic Albanians (2011 census). Total users in all countries: 1,885,900.
bwx	258,000 (McConnell 1995). 97,000 monolinguals. Ethnic population: 439,000 (1982 census). 100,000 ethnic Bunu speak Central Hongshuihe Zhuang [zch] as L1.
ptq	200,000 (2013 R. Rebbavarapu).
bwy	24,000 (1999 SIL).
ptp	1,700 (2003 SIL).
glh	70,000 (2011 SIL).
akz	170 (2010 census). Ethnic population: 460 (2000 census). Alabama and Texas.
aky	No known L1 speakers.
akx	No known L1 speakers.
gll	No known L1 speakers.
tmk	67,200 (2011 census), increasing. Population for all Tamang varieties: 1,350,000 (2011 census).
glo	Ethnic population: 25,000 (2006 J. Leclerc).
aks	59,200 (Gblem-Poidi and Kantchoa 2012).
akr	8.
akq	10 (2017 SIL).
akp	71,900 (2013 UNSD).
akw	36,000 (2014 J. Leclerc).
akv	210 (2010 census). Ethnic population: 7,930 (2010 census).
aku	1,400 (2002 SIL).
akt	950 (1982 SIL).
akj	No known L1 speakers.
aki	750 (Wurm and Hattori 1981).
akh	40,000 (1994 V. Schlatter).
ako	10 (Carlin and Arends 2002). No monolinguals. Ethnic population: 50.
akm	No known L1 speakers.
akl	93,200 (2002 UNSD). Total users in all countries: 116,800.
akc	7,000 (1993 R. Doriot).
akb	750,000 (1991 UBS).
aka	9,100,000 in Ghana, all users. L1 users: 8,100,000 (2013 UNSD). Population includes 111,000 Agona, 85,900 Ahafo, 626,000 Akuapem, 3,820,000 Asante, 142,000 Asen, 124,000 Dankyira, 2,730,000 Fante, 443,000 Kwawu, and 15,400 other (2013 UNSD). L2 users: 1,000,000. Total users in all countries: 9,214,000 (as L1: 8,214,000; as L2: 1,000,000).
akg	16,000 (2011 SIL).
akf	26,900 (2000).
ake	4,500 (2002 SIL). Ethnic population: 5,000 (Crevels 2007). Total users in all countries: 5,350.
akd	11,400 (2000).
tml	290 (1993 R. Doriot).
brz	1,250 (2003 SIL).
bry	260 (2000).
brx	1,330,000 (2001 census). Total users in all countries: 1,334,380.
brw	1,000 (Van Driem 2007).
brv	20,000 (1991).
bru	26,700 (2005 census). Total users in all countries: 82,300.
brt	46,300 (Blench 2003). Total users in all countries: 52,300.
brs	250 (Valkama 1987). 50 households.
brr	5,900 (1999 SIL).
brq	1,100 (1986 PBT).
brp	2,500 (1995 SIL).
bro	300 (Van Driem 1993).
brn	140 (2011 census). Ethnic population: 2,590 (2011 census).
brm	25,600 (1990 census).
brl	15,000 (2004 R. Cook).
brk	No known L1 speakers.
brj	70 (Early 2006), decreasing. Ethnic population: 100.
bri	20,000 (2014 M. Engeler). Ethnic population: 150,000 (2014 M. Engeler).
brh	2,210,000 (2011). Total users in all countries: 2,433,600.
brg	40 (Crevels 2007), decreasing. Ethnic population: 980 (2006 PIB).
brf	120,000 (1992 SIL).
bre	206,000 (2013 R. Milin), decreasing.
brd	160 (2011 census), decreasing. Ethnic population: 8,140 (2011 census).
brc	No known L1 speakers (2011 SIL). 15 with limited competence (Holm 1989).
brb	22,800 (2005 census). Total users in all countries: 32,230.
bra	574,000 (2001 census).
bwl	8,400 (2002).
bwm	3,040 (2003 SIL).
bwo	39,780, all users. L1 users: 37,500 (2010 UNSD). 140 Gamila. L2 users: 2,280. 18,600 monolinguals. 77 Gamila.
nka	36,200 (2010 census). 1,190 Mashasha, 35,000 Nkoya (2010 census).
nkb	25,600 (2001). Ethnic population: 25,600.
nkc	2,230 (2000).
nkd	3,000 (2002 BCA).
nke	2,310 (1999 SIL).
nkf	29,200 (2001 census).
nkg	430 (Wurm and Hattori 1981).
nkh	40,800 (2001 census).
nki	23,600 (2001). Ethnic population: 23,600.
nkj	700 (1999 M. Donohue).
nkk	160 (Wurm and Hattori 1981). Ethnic population: 400.
nkm	180 (2000 census). Ethnic population: 180 (2000 census).
nkn	22,300 (2000).
nko	20,400 (2013 UNSD). 11,000 in the language area, the rest in the larger urban areas of Ghana.
nkq	7,000 (2009 SIL).
nkr	700 (2016 B. Amon). 400 on Pohnpei, 300 on Nukuoro.
nks	1,000 (1991 SIL).
nkt	25,000 (2007).
nku	14,400 (1998). Total users in all countries: 29,900.
nkv	5,000 (2007). Total users in all countries: 10,000.
nkw	40,000 (Nida 1972).
nkx	4,550 (1989 UBS).
nkz	5,000 (1998 B. Connell).
ert	530 (2000).
tnt	150,000 (1990 J. Merrifield).
tnw	20,000 (Wurm and Hattori 1981), decreasing.
erw	200 (Wurm 2000).
tnq	No known L1 speakers.
tnp	7,500 (Lynch and Crowley 2001).
err	No known L1 speakers.
ers	20,000 (Shearer and Sun 2002), decreasing. Eastern Ersu (Ersu) 13,000, Central Ersu (Duoxu) 10 or less, Western Ersu (Lizu) 4,000.
tny	13,000 (2001). Ethnic population: 31,600 (2000).
tnx	1 (2012 A. François). Ethnic population: 150 (Wurm 2007).
tnz	350 (2014 SIL). Total users in all countries: 365.
tnd	50. Ethnic population: All ethnic Tunebos: 7,010 (Crevels 2007).
tng	30,000 (1999 SIL).
erg	1,900 (Lynch and Crowley 2001).
tna	1,820 (Adelaar 2004). Ethnic population: 5,060 (Adelaar 2004).
era	5,000 (2001). Ethnic population: 5,440 (2001 census). 3,890 in Kerala and 1,560 in Tamil Nadu.
tnc	300 (1976 SIL). 180 Tanimuca. Retuarã more monolingual than Tanimuca. Ethnic population: 1,800 (Crevels 2007).
tnb	700 (1998). Ethnic population: All ethnic Tunebos: 7,010 (Crevels 2007).
tnm	3,750 (1990 UBS).
tnl	11,500 (Lynch and Crowley 2001).
tno	No known L1 speakers. Ethnic population: 200 (Adelaar 2004).
ero	45,000 (Shearer and Sun 2002). sTau: 23,000, Geshitsa: 21,000, Nyagrong-Minyak: 1,000. 15,000 monolinguals.
erh	64,000 (2004).
eri	2,210 (2003 SIL).
tnk	3,500 (Lynch and Crowley 2001).
erk	6,000 (Lynch and Crowley 2001). Population includes Eton [etn].
uar	4,500 (2004 SIL), increasing.
uam	No known L1 speakers. Ethnic population: 2,740 (Crevels 2007).
uan	2,500 (1995 census).
sse	80,000 (2007). Total users in all countries: 85,000.
lal	55,000 (1993).
lam	201,000 (2010 census). 198,000 Lamba, 2,250 Lima (2010 census).
lan	5,000 (1995 R. Jones).
lao	3,870,000 in Laos, all users. 3,070,000 (2005 census). 800,000. Total users in all countries: 4,053,700 (as L1: 3,253,700; as L2: 800,000).
lah	A macrolanguage. Population total all languages: 118,852,200
lai	59,500 (2009 UNSD). Total users in all countries: 101,500.
laj	2,130,000 (2014 census), increasing. Census based on tribal affiliation.
lak	5,000 (1995).
lad	100,000 (2005 J. Leclerc). Total users in all countries: 112,000.
lae	16,000, all users. 11,000 (1997). 5,000 (1997). Ethnic population: 20,000 (2002).
laf	5,140 (Stevenson 1984).
lag	410,000 (2007 R. Cox), increasing. Many ethnic Burunge (Chemba, Goima, and elsewhere) and some Alagwa (Kolo, Mnenya, and elsewhere) who are L1 Langi speakers. 38,000 monolinguals.
laa	25,000 (1978 SIL).
lac	600 (2015 S. Cook). Ethnic population: 1,000 (2000).
lax	27,100 (2001 census). Ethnic population: 171,000 (2001 census).
lay	60,000 (1995).
laz	No known L1 speakers. Last speaker died in 1997 (Wurm 2007).
lat	No known L1 speakers. Ethnic population: No ethnic community.
lau	2,000 (1991 SIL).
lav	1,802,460 A macrolanguage. Population total all languages: 1,802,460
